TITLE="5runs_phase_avg_adim_subtracted_mean" 
Variables="x/c","y/c","z/c","u'/Udeb","v'/Udeb","w'/Udeb"
ZONE T="10", I=289, J=214, SOLUTIONTIME=0.200000
1.560376 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.567046 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.5737139999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.5803820000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.58705 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.593718 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.600386 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.607054 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.613724 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.6203919999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.6270600000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.6337279999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.640396 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.647064 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.653732 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.6604 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.6670699999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.6737380000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.6804059999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.687074 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.693742 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.70041 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.707078 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.7137479999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.7204160000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.7270839999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.733752 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.74042 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.747088 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.753756 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.7604259999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.7670940000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.7737619999999998 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.78043 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.787098 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.793766 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.800434 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.8071039999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.8137720000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.8204399999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.827108 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.833776 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.840444 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.847112 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.8537799999999998 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.8604500000000002 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.867118 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.873786 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.880454 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.887122 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.89379 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.9004579999999998 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.9071280000000002 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.913796 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.920464 -1.6506399999999999 0.7 0.0 -0.0 -0.0
0.0 -1.636678 0.7 0.0 -0.0 0.0
0.006668000000000091 -1.636678 0.7 0.0 -0.0 0.0
0.01333600000000004 -1.636678 0.7 0.0 -0.0 0.0
0.02000600000000006 -1.636678 0.7 0.0 -0.0 -0.0
0.026674000000000007 -1.636678 0.7 0.0 -0.0 0.0
0.0333420000000001 -1.636678 0.7 0.0 -0.0 0.0
0.040010000000000046 -1.636678 0.7 0.0 -0.0 0.0
0.046678 -1.636678 0.7 0.0 -0.0 0.0
0.05334600000000009 -1.636678 0.7 0.0 -0.0 0.0
0.06001400000000004 -1.636678 0.7 0.0 -0.0 0.0
0.06668400000000005 -1.636678 0.7 0.0 -0.0 0.0
0.073352 -1.636678 0.7 0.0 -0.0 0.0
0.08002000000000009 -1.636678 0.7 0.0 -0.0 0.0
0.08668800000000004 -1.636678 0.7 0.0 -0.0 0.0
0.093356 -1.636678 0.7 0.0 -0.0 0.0
0.10002400000000009 -1.636678 0.7 0.0 -0.0 0.0
0.10669200000000004 -1.636678 0.7 0.0 -0.0 0.0
0.11335999999999999 -1.636678 0.7 0.0 -0.0 0.0
